dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003411,21.920000,0.003704,0.148148,2.962963,59.259259,6.283147
0.050000,0.014387,21.919999,0.014680,0.219533,1.427694,-30.705384,6.283022
0.050000,0.032682,21.919994,0.032975,0.365900,2.927347,29.993059,6.282815
0.050000,0.058297,21.919981,0.058590,0.512286,2.927710,0.007266,6.282527
0.050000,0.091231,21.919953,0.091524,0.658697,2.928218,0.010169,6.282158
0.050000,0.131488,21.919903,0.131781,0.805140,2.928872,0.013071,6.281710
0.050000,0.179069,21.919820,0.179363,0.951624,2.929670,0.015970,6.281185
0.050000,0.233977,21.919694,0.234270,1.098154,2.930614,0.018865,6.280585
0.050000,0.296214,21.919511,0.296507,1.244739,2.931702,0.021756,6.279913
0.050000,0.365783,21.919257,0.366077,1.391386,2.932934,0.024642,6.279171
0.050000,0.442687,21.918917,0.442982,1.538102,2.934310,0.027522,6.278363
0.050000,0.526930,21.918474,0.527226,1.684893,2.935829,0.030395,6.277492
0.050000,0.618517,21.917910,0.618815,1.831768,2.937493,0.033261,6.276562
0.050000,0.717451,21.917206,0.717751,1.978733,2.939299,0.036120,6.275578
0.050000,0.823737,21.916342,0.824041,2.125795,2.941247,0.038970,6.274543
0.050000,0.937381,21.915298,0.937689,2.272962,2.943338,0.041811,6.273462
0.050000,1.058386,21.914054,1.058701,2.420240,2.945570,0.044641,6.272342
0.050000,1.186760,21.912587,1.187083,2.567638,2.947943,0.047462,6.271187
0.050000,1.322507,21.910877,1.322841,2.715160,2.950456,0.050272,6.270002
0.050000,1.465634,21.908903,1.465982,2.862816,2.953110,0.053072,6.268795
0.050000,1.616148,21.906645,1.616513,3.010611,2.955903,0.055861,6.267572
0.050000,1.774055,21.904081,1.774440,3.158553,2.958835,0.058639,6.266339
0.050000,1.939362,21.901193,1.939773,3.306648,2.961905,0.061408,6.265103
0.050000,2.112077,21.897962,2.112518,3.454904,2.965114,0.064167,6.263873
0.050000,2.292207,21.894373,2.292684,3.603327,2.968460,0.066919,6.262655
0.050000,2.479762,21.890408,2.480280,3.751924,2.971943,0.069664,6.261458
0.050000,2.674748,21.886056,2.675315,3.900702,2.975563,0.072404,6.260291
0.050000,2.873495,21.881393,2.874116,3.976022,1.506392,-29.383417,6.259180
0.050000,3.072323,21.876515,3.073004,3.977757,0.034716,-29.433514,6.258151
0.050000,3.271232,21.871439,3.271979,3.979492,0.034683,-0.000659,6.257201
0.050000,3.470224,21.866179,3.471040,3.981224,0.034653,-0.000618,6.256332
0.050000,3.669298,21.860752,3.670188,3.982955,0.034624,-0.000574,6.255543
0.050000,3.868454,21.855174,3.869422,3.984685,0.034597,-0.000528,6.254834
0.050000,4.067693,21.849459,4.068743,3.986414,0.034573,-0.000480,6.254205
0.050000,4.267015,21.843625,4.268150,3.988142,0.034552,-0.000431,6.253656
0.050000,4.466420,21.837687,4.467643,3.989868,0.034533,-0.000380,6.253187
0.050000,4.665908,21.831661,4.667223,3.991594,0.034517,-0.000327,6.252798
0.050000,4.865481,21.825562,4.866889,3.993319,0.034503,-0.000273,6.252488
0.050000,5.065138,21.819407,5.066641,3.995044,0.034492,-0.000218,6.252259
0.050000,5.264881,21.813212,5.266480,3.996768,0.034484,-0.000163,6.252109
0.050000,5.464709,21.806991,5.466404,3.998492,0.034478,-0.000107,6.252039
0.050000,5.664622,21.800763,5.666415,4.000216,0.034476,-0.000050,6.252049
0.050000,5.864623,21.794541,5.866512,4.001939,0.034476,0.000006,6.252139
0.050000,6.064710,21.788343,6.066695,4.003663,0.034479,0.000063,6.252309
0.050000,6.264884,21.782184,6.266964,4.005388,0.034485,0.000119,6.252558
0.050000,6.465147,21.776080,6.467320,4.007112,0.034494,0.000175,6.252888
0.050000,6.665498,21.770048,6.667762,4.008838,0.034506,0.000230,6.253297
0.050000,6.865938,21.764103,6.868290,4.010564,0.034520,0.000285,6.253786
0.050000,7.066468,21.758261,7.068905,4.012291,0.034537,0.000339,6.254355
0.050000,7.267087,21.752540,7.269606,4.014018,0.034556,0.000391,6.255004
0.050000,7.467797,21.746954,7.470393,4.015747,0.034578,0.000442,6.255733
0.050000,7.668597,21.741520,7.671267,4.017477,0.034603,0.000491,6.256542
0.050000,7.869488,21.736254,7.872227,4.019209,0.034630,0.000538,6.257431
0.050000,8.070471,21.731173,8.073274,4.020942,0.034659,0.000584,6.258401
0.050000,8.271546,21.726293,8.274408,4.022676,0.034690,0.000627,6.259451
0.050000,8.472713,21.721630,8.475629,4.024413,0.034724,0.000667,6.260581
0.050000,8.673971,21.717200,8.676936,4.026151,0.034759,0.000705,6.261792
0.050000,8.875322,21.713021,8.878331,4.027890,0.034796,0.000740,6.263083
0.050000,9.076766,21.709107,9.079812,4.029632,0.034835,0.000772,6.264455
0.050000,9.278302,21.705477,9.281381,4.031376,0.034875,0.000801,6.265907
0.050000,9.479931,21.702146,9.483037,4.033122,0.034916,0.000826,6.267441
0.050000,9.681652,21.699131,9.684781,4.034870,0.034958,0.000847,6.269055
0.050000,9.883465,21.696449,9.886612,4.036620,0.035002,0.000864,6.270750
0.050000,10.085370,21.694117,10.088530,4.038372,0.035045,0.000877,6.272527
0.050000,10.287367,21.692150,10.290537,4.040126,0.035090,0.000885,6.274385
0.050000,10.489455,21.690566,10.492631,4.041883,0.035134,0.000889,6.276324
0.050000,10.691633,21.689381,10.694813,4.043642,0.035178,0.000887,6.278344
0.050000,10.893902,21.688613,10.897083,4.045403,0.035222,0.000880,6.280446
0.050000,11.096260,21.688279,11.099441,4.047166,0.035266,0.000868,6.282630
0.050000,11.298707,21.688394,11.301888,4.048932,0.035308,0.000850,0.001710
0.050000,11.501241,21.688977,11.504423,4.050699,0.035350,0.000826,0.004057
0.050000,11.703861,21.690044,11.707046,4.052469,0.035390,0.000796,0.006486
0.050000,11.906567,21.691612,11.909758,4.054240,0.035427,0.000759,0.008998
0.050000,12.109357,21.693698,12.112559,4.056013,0.035463,0.000716,0.011591
0.050000,12.312230,21.696320,12.315448,4.057788,0.035497,0.000665,0.014266
0.050000,12.515183,21.699494,12.518427,4.059564,0.035527,0.000607,0.017024
0.050000,12.718216,21.703238,12.721494,4.061342,0.035554,0.000542,0.019864
0.050000,12.921326,21.707568,12.924650,4.063121,0.035577,0.000469,0.022786
0.050000,13.124511,21.712503,13.127895,4.064901,0.035597,0.000387,0.025791
0.050000,13.327769,21.718059,13.331229,4.066681,0.035612,0.000298,0.028878
0.050000,13.531098,21.724253,13.534652,4.068463,0.035622,0.000200,0.032048
0.050000,13.734494,21.731104,13.738164,4.070244,0.035626,0.000093,0.035300
0.050000,13.937957,21.738627,13.941766,4.072025,0.035625,-0.000023,0.038634
0.050000,14.141481,21.746841,14.145456,4.073806,0.035618,-0.000149,0.042052
0.050000,14.345065,21.755763,14.349235,4.075586,0.035604,-0.000283,0.045551
0.050000,14.548705,21.765409,14.553103,4.077365,0.035582,-0.000427,0.049133
0.050000,14.752398,21.775798,14.757061,4.079143,0.035553,-0.000581,0.052797
0.050000,14.956139,21.786946,14.961107,4.080919,0.035516,-0.000745,0.056543
0.050000,15.159925,21.798871,15.165241,4.082692,0.035470,-0.000920,0.060372
0.050000,15.363751,21.811590,15.369464,4.084463,0.035415,-0.001104,0.064282
0.050000,15.567614,21.825120,15.573776,4.086230,0.035350,-0.001299,0.068274
0.050000,15.771509,21.839479,15.778176,4.087994,0.035274,-0.001505,0.072348
0.050000,15.975431,21.854683,15.982663,4.089754,0.035188,-0.001721,0.076504
0.050000,16.179374,21.870749,16.187239,4.091508,0.035091,-0.001948,0.080740
0.050000,16.383335,21.887695,16.391901,4.093257,0.034982,-0.002186,0.085058
0.050000,16.587306,21.905536,16.596651,4.095000,0.034860,-0.002434,0.089456
0.050000,16.791282,21.924291,16.801488,4.096736,0.034725,-0.002693,0.093935
0.050000,16.995258,21.943976,17.006412,4.098465,0.034577,-0.002963,0.098494
0.050000,17.199226,21.964608,17.211421,4.100186,0.034415,-0.003243,0.103132
0.050000,17.403181,21.986202,17.416516,4.101898,0.034238,-0.003534,0.107850
0.050000,17.607116,22.008776,17.621696,4.103600,0.034047,-0.003835,0.112646
0.050000,17.811023,22.032345,17.826960,4.105292,0.033839,-0.004146,0.117521
0.050000,18.014895,22.056926,18.032309,4.106973,0.033616,-0.004468,0.122474
0.050000,18.218724,22.082534,18.237741,4.108642,0.033376,-0.004799,0.127504
0.050000,18.422504,22.109186,18.443256,4.110298,0.033119,-0.005139,0.132610
0.050000,18.626225,22.136898,18.648853,4.111940,0.032845,-0.005488,0.137793
0.050000,18.829879,22.165683,18.854531,4.113568,0.032552,-0.005846,0.143051
0.050000,19.033457,22.195559,19.060290,4.115180,0.032242,-0.006212,0.148384
0.050000,19.236951,22.226539,19.266129,4.116775,0.031912,-0.006585,0.153790
0.050000,19.440352,22.258639,19.472047,4.118354,0.031564,-0.006966,0.159270
0.050000,19.643649,22.291872,19.678043,4.119913,0.031197,-0.007353,0.164821
0.050000,19.846833,22.326254,19.884115,4.121454,0.030809,-0.007746,0.170445
0.050000,20.049895,22.361798,20.090264,4.122974,0.030402,-0.008144,0.176138
0.050000,20.252823,22.398518,20.296488,4.124473,0.029975,-0.008546,0.181901
0.050000,20.455607,22.436428,20.502785,4.125949,0.029527,-0.008953,0.187732
0.050000,20.658237,22.475539,20.709155,4.127402,0.029059,-0.009361,0.193631
0.050000,20.860701,22.515866,20.915597,4.128831,0.028570,-0.009774,0.199595
0.050000,21.062989,22.557421,21.122108,4.130234,0.028061,-0.010185,0.205625
0.050000,21.265088,22.600215,21.328689,4.131610,0.027531,-0.010598,0.211718
0.050000,21.466988,22.644261,21.535337,4.132959,0.026981,-0.011009,0.217874
0.050000,21.668675,22.689569,21.742051,4.134280,0.026410,-0.011419,0.224091
0.050000,21.870139,22.736151,21.948829,4.135571,0.025818,-0.011826,0.230368
0.050000,22.071366,22.784017,22.155671,4.136831,0.025207,-0.012228,0.236703
0.050000,22.272343,22.833178,22.362574,4.138060,0.024576,-0.012628,0.243095
0.050000,22.473060,22.883642,22.569537,4.139256,0.023925,-0.013018,0.249542
0.050000,22.673501,22.935419,22.776558,4.140419,0.023255,-0.013403,0.256044
0.050000,22.873655,22.988517,22.983635,4.141547,0.022566,-0.013780,0.262597
0.050000,23.073508,23.042946,23.190767,4.142640,0.021858,-0.014146,0.269201
0.050000,23.273047,23.098712,23.397952,4.143697,0.021133,-0.014503,0.275854
0.050000,23.472257,23.155824,23.605188,4.144716,0.020391,-0.014847,0.282554
0.050000,23.671127,23.214287,23.812473,4.145698,0.019632,-0.015178,0.289300
0.050000,23.869641,23.274109,24.019805,4.146641,0.018857,-0.015496,0.296089
0.050000,24.067787,23.335294,24.227182,4.147544,0.018067,-0.015801,0.302920
0.050000,24.265550,23.397849,24.434602,4.148407,0.017263,-0.016085,0.309791
0.050000,24.462916,23.461777,24.642064,4.149229,0.016445,-0.016356,0.316700
0.050000,24.659872,23.527083,24.849564,4.150010,0.015615,-0.016609,0.323646
0.050000,24.856403,23.593771,25.057101,4.150749,0.014773,-0.016840,0.330625
0.050000,25.052495,23.661843,25.264674,4.151445,0.013920,-0.017055,0.337637
0.050000,25.248136,23.731303,25.472279,4.152098,0.013057,-0.017249,0.344679
0.050000,25.429341,23.796581,25.664883,3.852090,-6.000152,-120.264188,0.337878
0.050000,25.585253,23.848581,25.829239,3.287108,-11.299634,-105.989636,0.304881
0.050000,25.736645,23.893112,25.987044,3.156103,-2.620115,173.590366,0.265820
0.050000,25.881660,23.929120,26.136462,2.988366,-3.354739,-14.692471,0.218998
0.050000,26.017643,23.955545,26.274989,2.770547,-4.356365,-20.032529,0.162096
0.050000,26.140844,23.971534,26.399223,2.484672,-5.717506,-27.222803,0.091966
0.050000,26.246145,23.976944,26.504663,2.108805,-7.517338,-35.996651,0.004441
0.050000,26.327235,23.973260,26.585836,1.623459,-9.706915,-43.791542,6.177639
0.050000,26.378197,23.964784,26.637498,1.033246,-11.804274,-41.947166,6.040325
0.050000,26.397916,23.958597,26.658166,0.413344,-12.398029,-11.875105,5.874294
0.050000,26.395876,23.959988,26.660634,0.049374,-7.279409,102.372405,5.686832
0.050000,26.390749,23.964088,26.667199,0.131295,1.638418,178.356524,5.495561
0.050000,26.397276,23.955651,26.677866,0.213333,1.640772,0.047093,5.320259
0.050000,26.417212,23.920966,26.717871,0.800111,11.735561,201.895765,5.172148
0.050000,26.444269,23.855800,26.788432,1.411211,12.221993,9.728639,5.052335
0.050000,26.471768,23.763114,26.885111,1.933587,10.447526,-35.489340,4.956701
0.050000,26.495471,23.648331,27.002316,2.344086,8.209984,-44.750836,4.880065
0.050000,26.513356,23.516681,27.135175,2.657198,6.262238,-38.954925,4.817918
0.050000,26.524759,23.372374,27.279932,2.895123,4.758488,-30.074989,4.766781
0.050000,26.529719,23.218585,27.433801,3.077380,3.645143,-22.266905,4.724077
0.050000,26.528282,23.070750,27.581642,2.956834,-2.410909,-121.121045,4.675850
0.050000,26.519870,22.948242,27.704439,2.455940,-10.017891,-152.139641,4.604389
0.050000,26.507506,22.867674,27.785951,1.630226,-16.514277,-129.927706,4.494712
0.050000,26.509466,22.867957,27.787931,0.039606,-31.812391,-305.962279,4.308727
0.050000,26.601055,23.004070,27.951990,3.281187,64.831619,1932.880204,3.970964
0.050000,26.869593,23.181685,28.273952,6.439241,63.161079,-33.410809,3.484761
0.050000,27.064992,23.216436,28.472418,3.969315,-49.398534,-2251.192267,3.114824
0.050000,27.068976,23.218261,28.476799,0.087627,-77.633748,-564.704282,2.926187
0.050000,26.966485,23.246652,28.583150,2.127004,40.787536,2368.425698,2.839502
0.050000,26.804489,23.300426,28.753838,3.413763,25.735169,-301.047345,2.812366
0.050000,26.593756,23.370863,28.976031,4.443865,20.602057,-102.662237,2.832920
0.050000,26.321089,23.447537,29.259273,5.664837,24.419426,76.347371,2.910061
0.050000,25.941380,23.505521,29.643384,7.682220,40.347661,318.564712,3.080971
0.050000,25.377599,23.446499,30.210246,11.337236,73.100324,655.053258,3.423250
0.050000,25.110896,23.352172,30.493138,5.657848,-113.587766,-3733.761809,3.500130
0.050000,24.913686,23.277104,30.704152,4.220288,-28.751200,1696.731311,3.510329
0.050000,24.718190,23.200506,30.914119,4.199333,-0.419095,566.642114,3.519558
0.050000,24.524344,23.122593,31.123037,4.178359,-0.419477,-0.007641,3.527816
0.050000,24.332079,23.043574,31.330907,4.157392,-0.419336,0.002824,3.535103
0.050000,24.141322,22.963654,31.537729,4.136451,-0.418833,0.010053,3.541420
0.050000,23.951996,22.883032,31.743506,4.115545,-0.418111,0.014431,3.546770
0.050000,23.764022,22.801902,31.948240,4.094680,-0.417294,0.016349,3.551153
0.050000,23.577321,22.720456,32.151933,4.073856,-0.416484,0.016200,3.554573
0.050000,23.391811,22.638881,32.354587,4.053068,-0.415766,0.014370,3.557030
0.050000,23.207413,22.557358,32.556202,4.032308,-0.415203,0.011241,3.558525
0.050000,23.024045,22.476069,32.756780,4.011566,-0.414844,0.007183,3.559061
0.050000,22.841630,22.395189,32.956322,3.990830,-0.414716,0.002564,3.558636
0.050000,22.660090,22.314894,33.154826,3.970088,-0.414829,-0.002256,3.557252
0.050000,22.479351,22.235356,33.352293,3.949330,-0.415175,-0.006918,3.554906
0.050000,22.299340,22.156745,33.548720,3.928543,-0.415728,-0.011060,3.551598
0.050000,22.119988,22.079229,33.744106,3.907721,-0.416444,-0.014317,3.547326
0.050000,21.941230,22.002977,33.938449,3.886858,-0.417260,-0.016317,3.542088
0.050000,21.763001,21.928153,34.131746,3.865953,-0.418094,-0.016682,3.535882
0.050000,21.585244,21.854921,34.323997,3.845011,-0.418845,-0.015023,3.528707
0.050000,21.407904,21.783446,34.515199,3.824041,-0.419392,-0.010950,3.520561
0.050000,21.233771,21.714989,34.702306,3.742129,-1.638250,-24.377156,3.511599
0.050000,21.066052,21.650840,34.881873,3.591358,-3.015413,-27.543258,3.502060
0.050000,20.905115,21.591080,35.053548,3.433483,-3.157502,-2.841789,3.492072
0.050000,20.750904,21.535595,35.217437,3.277791,-3.113849,0.873078,3.481734
0.050000,20.603372,21.484251,35.373648,3.124209,-3.071632,0.844338,3.471144
0.050000,20.462484,21.436900,35.522281,2.972660,-3.030974,0.813151,3.460397
0.050000,20.328208,21.393377,35.663434,2.823060,-2.992008,0.779322,3.449583
0.050000,20.200521,21.353509,35.797199,2.675317,-2.954866,0.742846,3.438788
0.050000,20.079404,21.317117,35.923666,2.529333,-2.919671,0.703894,3.428093
0.050000,19.964840,21.284015,36.042916,2.385007,-2.886532,0.662787,3.417574
0.050000,19.856816,21.254017,36.155028,2.242230,-2.855534,0.619957,3.407304
0.050000,19.755323,21.226935,36.260073,2.100893,-2.826738,0.575919,3.397350
0.050000,19.660351,21.202584,36.358117,1.960884,-2.800176,0.531229,3.387772
0.050000,19.571893,21.180784,36.449221,1.822091,-2.775854,0.486448,3.378628
0.050000,19.489943,21.161361,36.533442,1.684404,-2.753748,0.442113,3.369967
0.050000,19.414496,21.144147,36.610827,1.547713,-2.733813,0.398712,3.361837
0.050000,19.345548,21.128984,36.681423,1.411914,-2.715980,0.356658,3.354279
0.050000,19.283095,21.115723,36.745268,1.276906,-2.700166,0.316284,3.347329
0.050000,19.227134,21.104228,36.802398,1.142592,-2.686274,0.277827,3.341019
0.050000,19.177661,21.094374,36.852842,1.008882,-2.674203,0.241434,3.335378
0.050000,19.134676,21.086049,36.896627,0.875690,-2.663845,0.207156,3.330429
0.050000,19.098175,21.079153,36.933773,0.742935,-2.655097,0.174960,3.326193
0.050000,19.068156,21.073602,36.964300,0.610542,-2.647860,0.144736,3.322686
0.050000,19.044620,21.069326,36.988222,0.478440,-2.642045,0.116303,3.319922
0.050000,19.027563,21.066269,37.005550,0.346561,-2.637574,0.089423,3.317911
0.050000,19.016987,21.064392,37.016293,0.214842,-2.634383,0.063811,3.316661
0.050000,19.012889,21.063668,37.020454,0.083221,-2.632426,0.039145,3.316176
0.050000,19.012460,21.063592,37.020889,0.008714,-1.490140,22.845712,3.316126
0.050000,19.012460,21.063592,37.020889,0.000000,-0.174276,26.317281,3.316126
